% B field (T), voltage (mV)), voltage uncertainty (mV), Current (A),thickness (cm)
4.36, 0.00212, 0.000223, 5.00, 0.10
4.45, 0.00225, 0.000258, 5.00, 0.10
4.54, 0.00251, 0.00011, 5.00, 0.10
4.63, 0.00222, 0.00016, 5.00, 0.10
4.72, 0.0024, 0.000217, 5.00, 0.10
4.82, 0.00281, 0.000105, 5.00, 0.10
4.91, 0.00267, 0.000255, 5.00, 0.10
5.00, 0.00281, 0.000211, 5.00, 0.10
0.50, 0.00035, 0.000164, 3.00, 0.10
0.59, 0.000276, 0.000131, 3.00, 0.10
0.68, 0.000315, 0.000119, 3.00, 0.10
0.78, 0.000123, 0.000211, 3.00, 0.10
0.87, 0.000405, 0.000255, 3.00, 0.10
0.96, 0.000354, 0.000261, 3.00, 0.10
1.05, 9.64e-05, 0.000245, 3.00, 0.10
1.14, 0.000435, 0.000159, 3.00, 0.10
1.24, 0.000368, 0.000305, 3.00, 0.10
1.33, 0.000272, 0.000155, 3.00, 0.10
1.42, 0.000709, 0.000255, 3.00, 0.10
1.51, 0.000371, 9.61e-05, 3.00, 0.10
1.60, 0.000388, 0.000101, 3.00, 0.10
1.69, 0.000387, 0.000248, 3.00, 0.10
1.79, 0.000747, 9.11e-05, 3.00, 0.10
1.88, 0.000692, 0.000131, 3.00, 0.10
1.97, 0.0006, 0.000183, 3.00, 0.10
2.06, 0.000481, 0.000233, 3.00, 0.10
2.15, 0.00086, 0.000233, 3.00, 0.10
2.25, 0.000708, 0.000183, 3.00, 0.10
2.34, 0.000899, 0.000165, 3.00, 0.10
2.43, 0.000706, 0.000269, 3.00, 0.10
2.52, 0.000826, 0.000254, 3.00, 0.10
2.61, 0.00101, 0.000129, 3.00, 0.10
2.70, 0.00103, 0.000233, 3.00, 0.10
2.80, 0.000685, 0.000146, 3.00, 0.10
2.89, 0.000683, 9.03e-05, 3.00, 0.10
2.98, 0.00117, 0.000173, 3.00, 0.10
3.07, 0.000948, 0.000126, 3.00, 0.10
3.16, 0.00108, 0.000227, 3.00, 0.10
3.25, 0.000874, 0.000228, 3.00, 0.10
3.35, 0.00117, 0.000157, 3.00, 0.10
3.44, 0.00127, 0.000134, 3.00, 0.10
3.53, 0.00133, 0.000117, 3.00, 0.10
3.62, 0.00134, 0.000161, 3.00, 0.10
3.71, 0.00134, 0.000156, 3.00, 0.10
3.81, 0.00128, 0.000267, 3.00, 0.10
3.90, 0.00104, 0.000129, 3.00, 0.10
3.99, 0.00131, 0.000124, 3.00, 0.10
4.08, 0.00145, 0.000117, 3.00, 0.10
4.17, 0.00147, 0.000172, 3.00, 0.10
4.26, 0.00117, 0.000228, 3.00, 0.10
4.36, 0.00155, 0.000302, 3.00, 0.10
4.45, 0.0014, 0.00028, 3.00, 0.10
4.54, 0.00142, 0.000148, 3.00, 0.10
4.63, 0.00168, 0.000201, 3.00, 0.10
4.72, 0.00161, 0.000213, 3.00, 0.10
4.82, 0.00168, 0.000235, 3.00, 0.10
4.91, 0.00168, 0.000118, 3.00, 0.10
5.00, 0.0018, 0.000152, 3.00, 0.10
0.50, 0.000547, 0.000191, 5.00, 0.05
0.59, 0.00062, 0.000102, 5.00, 0.05
0.68, 0.000573, 9.36e-05, 5.00, 0.05
0.78, 0.000987, 0.000222, 5.00, 0.05
0.87, 0.000748, 0.000102, 5.00, 0.05
0.96, 0.000899, 0.000142, 5.00, 0.05
1.05, 0.000888, 0.000259, 5.00, 0.05
1.14, 0.00121, 0.00016, 5.00, 0.05
1.24, 0.00107, 0.000295, 5.00, 0.05
1.33, 0.00148, 0.000235, 5.00, 0.05
1.42, 0.00144, 0.000253, 5.00, 0.05
1.51, 0.00168, 0.000299, 5.00, 0.05
1.60, 0.00173, 0.00016, 5.00, 0.05
1.69, 0.0019, 0.00022, 5.00, 0.05
1.79, 0.00171, 9.6e-05, 5.00, 0.05
1.88, 0.00179, 0.000172, 5.00, 0.05
1.97, 0.0019, 0.000176, 5.00, 0.05
2.06, 0.00239, 0.000211, 5.00, 0.05
2.15, 0.0023, 0.000218, 5.00, 0.05
2.25, 0.00219, 0.000262, 5.00, 0.05
2.34, 0.00223, 0.000239, 5.00, 0.05
2.43, 0.00263, 0.000228, 5.00, 0.05
2.52, 0.00265, 0.000255, 5.00, 0.05
2.61, 0.00302, 0.000137, 5.00, 0.05
2.70, 0.00265, 0.000303, 5.00, 0.05
2.80, 0.00277, 0.000113, 5.00, 0.05
2.89, 0.00288, 0.0002, 5.00, 0.05
2.98, 0.00319, 0.000215, 5.00, 0.05
3.07, 0.00312, 0.000297, 5.00, 0.05
3.16, 0.00349, 0.000253, 5.00, 0.05
3.25, 0.00371, 0.000112, 5.00, 0.05
3.35, 0.00339, 0.00021, 5.00, 0.05
3.44, 0.00365, 0.00014, 5.00, 0.05
3.53, 0.00386, 0.000175, 5.00, 0.05
3.62, 0.00376, 0.000221, 5.00, 0.05
3.71, 0.00408, 0.000156, 5.00, 0.05
3.81, 0.00388, 0.000238, 5.00, 0.05
3.90, 0.00401, 0.000197, 5.00, 0.05
3.99, 0.00446, 0.000104, 5.00, 0.05
4.08, 0.00443, 0.000241, 5.00, 0.05
4.17, 0.00461, 0.000188, 5.00, 0.05
4.26, 0.00435, 0.000263, 5.00, 0.05
4.36, 0.00461, 0.000205, 5.00, 0.05
4.45, 0.00491, 0.000233, 5.00, 0.05
4.54, 0.00479, 0.000262, 5.00, 0.05
4.63, 0.00473, 0.000154, 5.00, 0.05
4.72, 0.00495, 0.000219, 5.00, 0.05
4.82, 0.00534, 8.92e-05, 5.00, 0.05
4.91, 0.00508, 0.000244, 5.00, 0.05
5.00, 0.00528, 9.75e-05, 5.00, 0.05
0.50, 0.000168, 0.000248, 3.00, 0.05
0.59, 0.000497, 0.000242, 3.00, 0.05
0.68, 0.000408, 0.000261, 3.00, 0.05
0.78, 0.000335, 0.000239, 3.00, 0.05
0.87, 0.000371, 0.000181, 3.00, 0.05
0.96, 0.000652, 0.000157, 3.00, 0.05
1.05, 0.00087, 0.000125, 3.00, 0.05
1.14, 0.000672, 0.00019, 3.00, 0.05
1.24, 0.0009, 0.000239, 3.00, 0.05
1.33, 0.00081, 0.000237, 3.00, 0.05
1.42, 0.000866, 0.000241, 3.00, 0.05
1.51, 0.00116, 0.000178, 3.00, 0.05
1.60, 0.00101, 0.000192, 3.00, 0.05
1.69, 0.00126, 0.000197, 3.00, 0.05
1.79, 0.000917, 0.000185, 3.00, 0.05
1.88, 0.00105, 0.000282, 3.00, 0.05
1.97, 0.00123, 0.000232, 3.00, 0.05
2.06, 0.0013, 0.000109, 3.00, 0.05
2.15, 0.00139, 0.000271, 3.00, 0.05
2.25, 0.00142, 0.000137, 3.00, 0.05
2.34, 0.00145, 0.000127, 3.00, 0.05
2.43, 0.00159, 0.000253, 3.00, 0.05
2.52, 0.00162, 0.000277, 3.00, 0.05
2.61, 0.00178, 0.000179, 3.00, 0.05
2.70, 0.00193, 0.000194, 3.00, 0.05
2.80, 0.00195, 0.000128, 3.00, 0.05
2.89, 0.0021, 0.000259, 3.00, 0.05
2.98, 0.00184, 0.000176, 3.00, 0.05
3.07, 0.00195, 0.000127, 3.00, 0.05
3.16, 0.00184, 0.000113, 3.00, 0.05
3.25, 0.00215, 0.00014, 3.00, 0.05
3.35, 0.00194, 0.000307, 3.00, 0.05
3.44, 0.00211, 9.33e-05, 3.00, 0.05
3.53, 0.00239, 0.000187, 3.00, 0.05
3.62, 0.00218, 0.000249, 3.00, 0.05
3.71, 0.00219, 0.000115, 3.00, 0.05
3.81, 0.00228, 0.000214, 3.00, 0.05
3.90, 0.00266, 0.00019, 3.00, 0.05
3.99, 0.00237, 0.000169, 3.00, 0.05
4.08, 0.00251, 0.000132, 3.00, 0.05
4.17, 0.00245, 0.000106, 3.00, 0.05
4.26, 0.00294, 9.7e-05, 3.00, 0.05
4.36, 0.00264, 0.000178, 3.00, 0.05
4.45, 0.00283, 0.000241, 3.00, 0.05
4.54, 0.00281, 0.000124, 3.00, 0.05
4.63, 0.00274, 0.000155, 3.00, 0.05
4.72, 0.00286, 0.000305, 3.00, 0.05
4.82, 0.00289, 0.000228, 3.00, 0.05
4.91, 0.00318, 0.000207, 3.00, 0.05
5.00, 0.00313, 0.000278, 3.00, 0.05
